# 2023-01-31 00:44:08.782709
LOCATION	TRANSLITERATE	TRANSLATE
(16,35,25)	مِن	dari
(16,35,26)	قَبْلِهِمْۚ	sebelum mereka
(16,35,27)	فَهَلْ	maka apakah
(16,35,28)	عَلَى	atas
(16,35,29)	ٱلرُّسُلِ	para Rasul
(16,35,30)	إِلَّا	melainkan
(16,35,31)	ٱلْبَلَٰغُ	penyampaian
(16,35,32)	ٱلْمُبِينُ	nyata
(16,36,1)	وَلَقَدْ	dan sesungguhnya
(16,36,2)	بَعَثْنَا	Kami telah mengutus
(16,36,3)	فِى	dalam
(16,36,4)	كُلِّ	tiap-tiap
(16,36,5)	أُمَّةٍ	umat
(16,36,6)	رَّسُولًا	seorang Rasul
(16,36,7)	أَنِ	maka
(16,36,8)	ٱعْبُدُوا۟	sembahlah
(16,36,9)	ٱللَّهَ	Allah
(16,36,10)	وَٱجْتَنِبُوا۟	dan jauhilah
(16,36,11)	ٱلطَّٰغُوتَۖ	Tagut
(16,36,12)	فَمِنْهُم	maka diantara mereka
(16,36,13)	مَّنْ	orang
(16,36,14)	هَدَى	mendapat petunjuk
(16,36,15)	ٱللَّهُ	Allah
(16,36,16)	وَمِنْهُم	dan diantara mereka
(16,36,17)	مَّنْ	orang
(16,36,18)	حَقَّتْ	berhak/pasti
(16,36,19)	عَلَيْهِ	atasnya
(16,36,20)	ٱلضَّلَٰلَةُۚ	kesesatan
(16,36,21)	فَسِيرُوا۟	maka berjalanlah kamu
(16,36,22)	فِى	di
(16,36,23)	ٱلْأَرْضِ	bumi
(16,36,24)	فَٱنظُرُوا۟	maka/lalu perhatikan
(16,36,25)	كَيْفَ	bagaimana
(16,36,26)	كَانَ	adalah
(16,36,27)	عَٰقِبَةُ	akibat/kesudahan
(16,36,28)	ٱلْمُكَذِّبِينَ	orang-orang yang berdusta
(16,37,1)	إِن	jika
(16,37,2)	تَحْرِصْ	kamu sangat mengharapkan
(16,37,3)	عَلَىٰ	atas
(16,37,4)	هُدَىٰهُمْ	petunjuk mereka
(16,37,5)	فَإِنَّ	maka sesungguhnya
(16,37,6)	ٱللَّهَ	Allah
(16,37,7)	لَا	tidak
(16,37,8)	يَهْدِى	memberi petunjuk
(16,37,9)	مَن	orang
(16,37,10)	يُضِلُّۖ	Dia sesatkan
(16,37,11)	وَمَا	dan tidak ada
(16,37,12)	لَهُم	bagi mereka
(16,37,13)	مِّن	dari
(16,37,14)	نَّٰصِرِينَ	para penolong
(16,38,1)	وَأَقْسَمُوا۟	dan mereka bersumpah
(16,38,2)	بِٱللَّهِ	dengan Allah
(16,38,3)	جَهْدَ	sungguh-sungguh
(16,38,4)	أَيْمَٰنِهِمْۙ	sumpah mereka
(16,38,5)	لَا	tidak
(16,38,6)	يَبْعَثُ	membangkitkan
(16,38,7)	ٱللَّهُ	Allah
(16,38,8)	مَن	orang
(16,38,9)	يَمُوتُۚ	mati
(16,38,10)	بَلَىٰ	ya/bahkan
(16,38,11)	وَعْدًا	janji
(16,38,12)	عَلَيْهِ	atasnya
(16,38,13)	حَقًّا	benar
(16,38,14)	وَلَٰكِنَّ	akan tetapi
(16,38,15)	أَكْثَرَ	kebanyakan
(16,38,16)	ٱلنَّاسِ	manusia
(16,38,17)	لَا	tidak
(16,38,18)	يَعْلَمُونَ	mereka mengetahui
(16,39,1)	لِيُبَيِّنَ	karena Dia hendak menjelaskan
(16,39,2)	لَهُمُ	kepada mereka
(16,39,3)	ٱلَّذِى	yang
(16,39,4)	يَخْتَلِفُونَ	mereka perselisihkan
(16,39,5)	فِيهِ	didalamnya
(16,39,6)	وَلِيَعْلَمَ	dan agar mengetahui
(16,39,7)	ٱلَّذِينَ	orang-orang yang
(16,39,8)	كَفَرُوٓا۟	kafir/ingkar
(16,39,9)	أَنَّهُمْ	bahwasanya mereka
(16,39,10)	كَانُوا۟	adalah mereka
(16,39,11)	كَٰذِبِينَ	orang-orang yang berdusta
(16,40,1)	إِنَّمَا	sesungguhnya hanyalah
(16,40,2)	قَوْلُنَا	perkataan Kami
(16,40,3)	لِشَىْءٍ	terhadap sesuatu
(16,40,4)	إِذَآ	apabila
(16,40,5)	أَرَدْنَٰهُ	Kami menghendakinya
(16,40,6)	أَن	bahwa
(16,40,7)	نَّقُولَ	Kami katakan
(16,40,8)	لَهُۥ	kepadanya
(16,40,9)	كُن	adalah/jadilah
(16,40,10)	فَيَكُونُ	maka adalah/jadilah
(16,41,1)	وَٱلَّذِينَ	dan orang-orang yang
(16,41,2)	هَاجَرُوا۟	(mereka) berhijrah
(16,41,3)	فِى	didalam/pada
(16,41,4)	ٱللَّهِ	Allah
(16,41,5)	مِنۢ	dari
(16,41,6)	بَعْدِ	sesudah
(16,41,7)	مَا	apa
(16,41,8)	ظُلِمُوا۟	mereka aniaya
(16,41,9)	لَنُبَوِّئَنَّهُمْ	pasti Kami memberi tempat mereka
(16,41,10)	فِى	di
(16,41,11)	ٱلدُّنْيَا	dunia
(16,41,12)	حَسَنَةًۖ	baik/kebaikan
(16,41,13)	وَلَأَجْرُ	dan sungguh pahala
(16,41,14)	ٱلْءَاخِرَةِ	akhirat
(16,41,15)	أَكْبَرُۚ	lebih besar
(16,41,16)	لَوْ	jika
(16,41,17)	كَانُوا۟	adalah mereka
(16,41,18)	يَعْلَمُونَ	mereka mengetahui
(16,42,1)	ٱلَّذِينَ	orang-orang yang
(16,42,2)	صَبَرُوا۟	(mereka) bersabar
(16,42,3)	وَعَلَىٰ	dan atas/kepada
(16,42,4)	رَبِّهِمْ	Tuhan mereka
(16,42,5)	يَتَوَكَّلُونَ	mereka bertawakkal
(16,43,1)	وَمَآ	dan tidak
(16,43,2)	أَرْسَلْنَا	Kami mengutus
(16,43,3)	مِن	dari
(16,43,4)	قَبْلِكَ	sebelum kamu
(16,43,5)	إِلَّا	kecuali/melainkan
(16,43,6)	رِجَالًا	orang laki-laki
(16,43,7)	نُّوحِىٓ	Kami beri wahyu
(16,43,8)	إِلَيْهِمْۚ	kepada mereka
(16,43,9)	فَسْـَٔلُوٓا۟	maka tanyakanlah
(16,43,10)	أَهْلَ	ahli/mempunyai pengetahuan
(16,43,11)	ٱلذِّكْرِ	dzikir
(16,43,12)	إِن	jika
(16,43,13)	كُنتُمْ	kalian adalah
(16,43,14)	لَا	tidak
(16,43,15)	تَعْلَمُونَ	(kalian) mengetahui
(16,44,1)	بِٱلْبَيِّنَٰتِ	dengan keterangan-keterangan
(16,44,2)	وَٱلزُّبُرِۗ	dan kitab-kitab
(16,44,3)	وَأَنزَلْنَآ	dan Kami turunkan
(16,44,4)	إِلَيْكَ	kepadamu
(16,44,5)	ٱلذِّكْرَ	peringatan/Al Quran
(16,44,6)	لِتُبَيِّنَ	agar kamu menerangkan
(16,44,7)	لِلنَّاسِ	kepada manusia
(16,44,8)	مَا	apa
(16,44,9)	نُزِّلَ	telah diturunkan
(16,44,10)	إِلَيْهِمْ	kepada mereka
(16,44,11)	وَلَعَلَّهُمْ	dan agar mereka
(16,44,12)	يَتَفَكَّرُونَ	mereka berfikir
(16,45,1)	أَفَأَمِنَ	apakah merasa aman
(16,45,2)	ٱلَّذِينَ	orang-orang yang
(16,45,3)	مَكَرُوا۟	membuat rencana
(16,45,4)	ٱلسَّيِّـَٔاتِ	kejahatan
(16,45,5)	أَن	bahwa akan
(16,45,6)	يَخْسِفَ	membenamkan
(16,45,7)	ٱللَّهُ	Allah
(16,45,8)	بِهِمُ	dengan/bersama mereka
(16,45,9)	ٱلْأَرْضَ	bumi
(16,45,10)	أَوْ	atau
(16,45,11)	يَأْتِيَهُمُ	datang kepada mereka
(16,45,12)	ٱلْعَذَابُ	azab
(16,45,13)	مِنْ	dari
(16,45,14)	حَيْثُ	arah/tempat
(16,45,15)	لَا	tidak
(16,45,16)	يَشْعُرُونَ	mereka menyadari
(16,46,1)	أَوْ	atau
(16,46,2)	يَأْخُذَهُمْ	Dia mengazab mereka
(16,46,3)	فِى	dalam
(16,46,4)	تَقَلُّبِهِمْ	perjalanan mereka
(16,46,5)	فَمَا	maka tidak
(16,46,6)	هُم	mereka
(16,46,7)	بِمُعْجِزِينَ	dengan menolak/melepaskan
(16,47,1)	أَوْ	atau
(16,47,2)	يَأْخُذَهُمْ	Dia mengazab mereka
(16,47,3)	عَلَىٰ	atas
(16,47,4)	تَخَوُّفٍ	keadaan takut
(16,47,5)	فَإِنَّ	maka sesungguhnya
(16,47,6)	رَبَّكُمْ	Tuhan kalian
(16,47,7)	لَرَءُوفٌ	sungguh Maha Pengasih
(16,47,8)	رَّحِيمٌ	Maha Penyayang
(16,48,1)	أَوَلَمْ	dan apakah
(16,48,2)	يَرَوْا۟	mereka memperhatikan
(16,48,3)	إِلَىٰ	kepada
(16,48,4)	مَا	apa
(16,48,5)	خَلَقَ	telah menciptakan
(16,48,6)	ٱللَّهُ	Allah
(16,48,7)	مِن	dari
(16,48,8)	شَىْءٍ	sesuatu
(16,48,9)	يَتَفَيَّؤُا۟	condong/berteduh
(16,48,10)	ظِلَٰلُهُۥ	bayangannya/naungannya
(16,48,11)	عَنِ	dari
(16,48,12)	ٱلْيَمِينِ	kanan
(16,48,13)	وَٱلشَّمَآئِلِ	dan kiri
(16,48,14)	سُجَّدًا	bersujud/tunduk
(16,48,15)	لِّلَّهِ	kepada Allah
(16,48,16)	وَهُمْ	dan/sedang mereka
(16,48,17)	دَٰخِرُونَ	orang-orang yang berrendah diri
(16,49,1)	وَلِلَّهِ	dan kepada Allah
(16,49,2)	يَسْجُدُ	mereka bersujud
(16,49,3)	مَا	apa
(16,49,4)	فِى	di
(16,49,5)	ٱلسَّمَٰوَٰتِ	langit(jamak)
(16,49,6)	وَمَا	dan apa
(16,49,7)	فِى	di
(16,49,8)	ٱلْأَرْضِ	bumi
(16,49,9)	مِن	dari
(16,49,10)	دَآبَّةٍ	makhluk yang melata
(16,49,11)	وَٱلْمَلَٰٓئِكَةُ	dan para Malaikat
(16,49,12)	وَهُمْ	dan/sedang mereka
(16,49,13)	لَا	tidak
(16,49,14)	يَسْتَكْبِرُونَ	mereka menyombongkan diri
(16,50,1)	يَخَافُونَ	mereka takut
(16,50,2)	رَبَّهُم	Tuhan mereka
(16,50,3)	مِّن	dari
(16,50,4)	فَوْقِهِمْ	atas mereka
(16,50,5)	وَيَفْعَلُونَ	dan mereka mengerjakan
(16,50,6)	مَا	apa
(16,50,7)	يُؤْمَرُونَ۩	mereka diperintahkan
(16,51,1)	وَقَالَ	dan berfirman
(16,51,2)	ٱللَّهُ	Allah
(16,51,3)	لَا	jangan
(16,51,4)	تَتَّخِذُوٓا۟	kamu mengambil/menyembah
(16,51,5)	إِلَٰهَيْنِ	dua Tuhan
(16,51,6)	ٱثْنَيْنِۖ	dua
(16,51,7)	إِنَّمَا	sesungguhnya hanyalah
(16,51,8)	هُوَ	Dia
(16,51,9)	إِلَٰهٌ	Tuhan
(16,51,10)	وَٰحِدٌۖ	satu/esa
(16,51,11)	فَإِيَّٰىَ	maka kepadaKu
(16,51,12)	فَٱرْهَبُونِ	hendaknya kamu takut
(16,52,1)	وَلَهُۥ	dan bagiNya
(16,52,2)	مَا	apa
(16,52,3)	فِى	di
(16,52,4)	ٱلسَّمَٰوَٰتِ	langit(jamak)
(16,52,5)	وَٱلْأَرْضِ	dan bumi
(16,52,6)	وَلَهُ	dan untukNya
(16,52,7)	ٱلدِّينُ	agama/ketaatan
(16,52,8)	وَاصِبًاۚ	selama-lamanya/tetap
(16,52,9)	أَفَغَيْرَ	apakah selain
(16,52,10)	ٱللَّهِ	Allah
(16,52,11)	تَتَّقُونَ	kamu bertakwa
(16,53,1)	وَمَا	dan apa
(16,53,2)	بِكُم	dengan/untuk kalian
(16,53,3)	مِّن	dari
(16,53,4)	نِّعْمَةٍ	nikmat
(16,53,5)	فَمِنَ	maka dari
(16,53,6)	ٱللَّهِۖ	Allah
(16,53,7)	ثُمَّ	kemudian
(16,53,8)	إِذَا	apabila
(16,53,9)	مَسَّكُمُ	menimpa kamu
(16,53,10)	ٱلضُّرُّ	bahaya
(16,53,11)	فَإِلَيْهِ	maka kepadanya
(16,53,12)	تَجْـَٔرُونَ	kamu berteriak/minta tolong
(16,54,1)	ثُمَّ	kemudian
(16,54,2)	إِذَا	apabila
(16,54,3)	كَشَفَ	Dia telah menghilangkan
(16,54,4)	ٱلضُّرَّ	bahaya
(16,54,5)	عَنكُمْ	dari kalian
(16,54,6)	إِذَا	apabila/tiba-tiba
(16,54,7)	فَرِيقٌ	segolongan
(16,54,8)	مِّنكُم	diantara kamu
(16,54,9)	بِرَبِّهِمْ	dengan Tuhan mereka
(16,54,10)	يُشْرِكُونَ	mereka mempersekutukan
(16,55,1)	لِيَكْفُرُوا۟	karena mereka mengingkari
(16,55,2)	بِمَآ	dengan apa
(16,55,3)	ءَاتَيْنَٰهُمْۚ	kami telah berikan kepada mereka
(16,55,4)	فَتَمَتَّعُوا۟ۖ	maka bersenang-senanglah kamu
(16,55,5)	فَسَوْفَ	maka kelak
(16,55,6)	تَعْلَمُونَ	(kalian) mengetahui
(16,56,1)	وَيَجْعَلُونَ	dan mereka menjadikan
(16,56,2)	لِمَا	untuk apa
(16,56,3)	لَا	tidak
(16,56,4)	يَعْلَمُونَ	mereka mengetahui
(16,56,5)	نَصِيبًا	bagian
(16,56,6)	مِّمَّا	dari apa
(16,56,7)	رَزَقْنَٰهُمْۗ	kami telah rezekikan kepada mereka
(16,56,8)	تَٱللَّهِ	demi Allah
(16,56,9)	لَتُسْـَٔلُنَّ	sungguh kamu akan ditanya
(16,56,10)	عَمَّا	dari/tentang apa
(16,56,11)	كُنتُمْ	kalian adalah
(16,56,12)	تَفْتَرُونَ	kamu ada-adakan
(16,57,1)	وَيَجْعَلُونَ	dan mereka menjadikan
(16,57,2)	لِلَّهِ	bagi Allah
(16,57,3)	ٱلْبَنَٰتِ	anak-anak perempuan
(16,57,4)	سُبْحَٰنَهُۥۙ	Maha Suci Dia
(16,57,5)	وَلَهُم	dan bagi mereka
(16,57,6)	مَّا	apa
(16,57,7)	يَشْتَهُونَ	mereka sukai
(16,58,1)	وَإِذَا	dan apabila
(16,58,2)	بُشِّرَ	dikabarkan
(16,58,3)	أَحَدُهُم	seseorang dari mereka
(16,58,4)	بِٱلْأُنثَىٰ	dengan anak perempuan
(16,58,5)	ظَلَّ	jadilah
(16,58,6)	وَجْهُهُۥ	mukanya
(16,58,7)	مُسْوَدًّا	menghitam/suram
(16,58,8)	وَهُوَ	dan dia
(16,58,9)	كَظِيمٌ	sangat marah
(16,59,1)	يَتَوَٰرَىٰ	ia menyembunyikan diri
(16,59,2)	مِنَ	dari
(16,59,3)	ٱلْقَوْمِ	kaum
(16,59,4)	مِن	dari
(16,59,5)	سُوٓءِ	seburuk-buruk
(16,59,6)	مَا	apa
(16,59,7)	بُشِّرَ	dikabarkan
(16,59,8)	بِهِۦٓۚ	dengannya/kepadanya
(16,59,9)	أَيُمْسِكُهُۥ	apakah ia akan memelihara
(16,59,10)	عَلَىٰ	atas/dengan
(16,59,11)	هُونٍ	kehinaan
(16,59,12)	أَمْ	atau
(16,59,13)	يَدُسُّهُۥ	ia menguburkan
(16,59,14)	فِى	didalam
(16,59,15)	ٱلتُّرَابِۗ	tanah
(16,59,16)	أَلَا	ingatlah
(16,59,17)	سَآءَ	alangkah buruknya
(16,59,18)	مَا	apa
(16,59,19)	يَحْكُمُونَ	mereka tetapkan
(16,60,1)	لِلَّذِينَ	bagi orang-orang yang
(16,60,2)	لَا	tidak
(16,60,3)	يُؤْمِنُونَ	beriman
(16,60,4)	بِٱلْءَاخِرَةِ	dengan akhirat
(16,60,5)	مَثَلُ	perumpamaan/sifat-sifat
(16,60,6)	ٱلسَّوْءِۖ	buruk
(16,60,7)	وَلِلَّهِ	dan bagi Allah
(16,60,8)	ٱلْمَثَلُ	perumpamaan/sifat-sifat
(16,60,9)	ٱلْأَعْلَىٰۚ	tinggi
(16,60,10)	وَهُوَ	dan Dia
(16,60,11)	ٱلْعَزِيزُ	Maha Perkasa
(16,60,12)	ٱلْحَكِيمُ	Maha Bijaksana
(16,61,1)	وَلَوْ	dan jikalau
(16,61,2)	يُؤَاخِذُ	mengambil/menghukum
(16,61,3)	ٱللَّهُ	Allah
(16,61,4)	ٱلنَّاسَ	manusia
(16,61,5)	بِظُلْمِهِم	karena kelaziman mereka
(16,61,6)	مَّا	tidak
(16,61,7)	تَرَكَ	Dia meninggalkannya
(16,61,8)	عَلَيْهَا	atasnya
(16,61,9)	مِن	dari
(16,61,10)	دَآبَّةٍ	makhluk yang melata
(16,61,11)	وَلَٰكِن	akan tetapi
(16,61,12)	يُؤَخِّرُهُمْ	menangguhkan mereka
(16,61,13)	إِلَىٰٓ	sampai
(16,61,14)	أَجَلٍ	waktu
(16,61,15)	مُّسَمًّىۖ	ditentukan
(16,61,16)	فَإِذَا	maka apabila
(16,61,17)	جَآءَ	telah datang
(16,61,18)	أَجَلُهُمْ	waktu mereka
(16,61,19)	لَا	tidak
(16,61,20)	يَسْتَـْٔخِرُونَ	mereka dapat mengundurkan
(16,61,21)	سَاعَةًۖ	sesaat
(16,61,22)	وَلَا	dan tidak
(16,61,23)	يَسْتَقْدِمُونَ	mereka dapat mendahulukan
(16,62,1)	وَيَجْعَلُونَ	dan mereka menjadikan
(16,62,2)	لِلَّهِ	bagi Allah
(16,62,3)	مَا	apa
(16,62,4)	يَكْرَهُونَ	mereka benci
(16,62,5)	وَتَصِفُ	dan mengucapkan
(16,62,6)	أَلْسِنَتُهُمُ	lidah mereka
(16,62,7)	ٱلْكَذِبَ	kedustaan
(16,62,8)	أَنَّ	bahwasanya
(16,62,9)	لَهُمُ	bagi mereka
(16,62,10)	ٱلْحُسْنَىٰۖ	kebaikan
(16,62,11)	لَا	tidak
(16,62,12)	جَرَمَ	diragukan
(16,62,13)	أَنَّ	bahwasanya
(16,62,14)	لَهُمُ	bagi mereka
(16,62,15)	ٱلنَّارَ	neraka
(16,62,16)	وَأَنَّهُم	dan bahwasanya mereka
(16,62,17)	مُّفْرَطُونَ	orang-orang yang segera dimasukkan
(16,63,1)	تَٱللَّهِ	demi Allah
(16,63,2)	لَقَدْ	sesungguhnya
(16,63,3)	أَرْسَلْنَآ	Kami telah mengutus
(16,63,4)	إِلَىٰٓ	kepada
(16,63,5)	أُمَمٍ	umat-umat
(16,63,6)	مِّن	dari
(16,63,7)	قَبْلِكَ	sebelum kamu
(16,63,8)	فَزَيَّنَ	lalu menjadikan memandang baik
(16,63,9)	لَهُمُ	bagi/kepada mereka
(16,63,10)	ٱلشَّيْطَٰنُ	syaitan
(16,63,11)	أَعْمَٰلَهُمْ	perbuatan mereka
(16,63,12)	فَهُوَ	maka dia
(16,63,13)	وَلِيُّهُمُ	pemimpin mereka
(16,63,14)	ٱلْيَوْمَ	hari itu
(16,63,15)	وَلَهُمْ	dan bagi mereka
(16,63,16)	عَذَابٌ	azab
(16,63,17)	أَلِيمٌ	yang pedih
(16,64,1)	وَمَآ	dan tidak
(16,64,2)	أَنزَلْنَا	Kami menurunkan
(16,64,3)	عَلَيْكَ	kepadamu
(16,64,4)	ٱلْكِتَٰبَ	Kitab
(16,64,5)	إِلَّا	melainkan
(16,64,6)	لِتُبَيِّنَ	agar kamu menjelaskan
(16,64,7)	لَهُمُ	kepada mereka
(16,64,8)	ٱلَّذِى	apa yang
(16,64,9)	ٱخْتَلَفُوا۟	mereka perselisihkan
(16,64,10)	فِيهِۙ	di dalamnya
(16,64,11)	وَهُدًى	dan petunjuk
(16,64,12)	وَرَحْمَةً	dan rahmat
(16,64,13)	لِّقَوْمٍ	bagi kaum
(16,64,14)	يُؤْمِنُونَ	mereka beriman
(16,65,1)	وَٱللَّهُ	dan Allah
(16,65,2)	أَنزَلَ	menurunkan
(16,65,3)	مِنَ	dari
(16,65,4)	ٱلسَّمَآءِ	langit
(16,65,5)	مَآءً	air/hujan
(16,65,6)	فَأَحْيَا	maka/lalu Dia menghidupkan
(16,65,7)	بِهِ	dengannya
(16,65,8)	ٱلْأَرْضَ	bumi
(16,65,9)	بَعْدَ	sesudah
(16,65,10)	مَوْتِهَآۚ	matinya
(16,65,11)	إِنَّ	sesungguhnya
(16,65,12)	فِى	pada
(16,65,13)	ذَٰلِكَ	demikian
(16,65,14)	لَءَايَةً	sungguh tanda-tanda
(16,65,15)	لِّقَوْمٍ	bagi kaum
(16,65,16)	يَسْمَعُونَ	mereka mendengarkan
(16,66,1)	وَإِنَّ	dan sesungguhnya
(16,66,2)	لَكُمْ	bagi kalian
(16,66,3)	فِى	didalam
(16,66,4)	ٱلْأَنْعَٰمِ	binatang ternak
(16,66,5)	لَعِبْرَةًۖ	sungguh pelajaran
(16,66,6)	نُّسْقِيكُم	Kami memberi minuman kamu
(16,66,7)	مِّمَّا	dari apa
(16,66,8)	فِى	didalam
(16,66,9)	بُطُونِهِۦ	perutnya
(16,66,10)	مِنۢ	dari
(16,66,11)	بَيْنِ	antara
(16,66,12)	فَرْثٍ	kotoran
(16,66,13)	وَدَمٍ	dan darah
(16,66,14)	لَّبَنًا	susu
(16,66,15)	خَالِصًا	bersih/suci
(16,66,16)	سَآئِغًا	mudah
(16,66,17)	لِّلشَّٰرِبِينَ	bagi orang-orang yang meminum
(16,67,1)	وَمِن	dan dari
(16,67,2)	ثَمَرَٰتِ	buah-buahan
(16,67,3)	ٱلنَّخِيلِ	kurma
(16,67,4)	وَٱلْأَعْنَٰبِ	dan anggur
(16,67,5)	تَتَّخِذُونَ	kamu mengambil/membuat
(16,67,6)	مِنْهُ	daripadanya
(16,67,7)	سَكَرًا	memabukkan
(16,67,8)	وَرِزْقًا	dan rezki
(16,67,9)	حَسَنًاۗ	baik
(16,67,10)	إِنَّ	sesungguhnya
(16,67,11)	فِى	pada
(16,67,12)	ذَٰلِكَ	demikian
(16,67,13)	لَءَايَةً	sungguh tanda-tanda
(16,67,14)	لِّقَوْمٍ	bagi kaum
(16,67,15)	يَعْقِلُونَ	mereka berfikir
(16,68,1)	وَأَوْحَىٰ	dan telah mewahyukan
(16,68,2)	رَبُّكَ	Tuhanmu
(16,68,3)	إِلَى	kepada
(16,68,4)	ٱلنَّحْلِ	lebah
(16,68,5)	أَنِ	hendaklah
(16,68,6)	ٱتَّخِذِى	ambil/buat
(16,68,7)	مِنَ	dari
(16,68,8)	ٱلْجِبَالِ	gunung-gunung
(16,68,9)	بُيُوتًا	rumah/sarang-sarang
(16,68,10)	وَمِنَ	dan dari
(16,68,11)	ٱلشَّجَرِ	pohon
(16,68,12)	وَمِمَّا	dan dari apa
(16,68,13)	يَعْرِشُونَ	mereka dirikan
(16,69,1)	ثُمَّ	kemudian
(16,69,2)	كُلِى	makanlah
(16,69,3)	مِن	dari
(16,69,4)	كُلِّ	tiap-tiap
(16,69,5)	ٱلثَّمَرَٰتِ	buah-buahan
(16,69,6)	فَٱسْلُكِى	lalu berjalanlah/tempuhlah
(16,69,7)	سُبُلَ	jalan
(16,69,8)	رَبِّكِ	Tuhanmu
(16,69,9)	ذُلُلًاۚ	merendahkan diri
(16,69,10)	يَخْرُجُ	keluar
(16,69,11)	مِنۢ	dari
(16,69,12)	بُطُونِهَا	perutnya
(16,69,13)	شَرَابٌ	minuman
(16,69,14)	مُّخْتَلِفٌ	bermacam-macam
(16,69,15)	أَلْوَٰنُهُۥ	warnanya
(16,69,16)	فِيهِ	didalamnya
(16,69,17)	شِفَآءٌ	obat
(16,69,18)	لِّلنَّاسِۗ	bagi manusia
(16,69,19)	إِنَّ	sesungguhnya
(16,69,20)	فِى	pada
(16,69,21)	ذَٰلِكَ	demikian
(16,69,22)	لَءَايَةً	sungguh tanda-tanda
(16,69,23)	لِّقَوْمٍ	bagi kaum
(16,69,24)	يَتَفَكَّرُونَ	mereka memikirkan
(16,70,1)	وَٱللَّهُ	dan Allah
(16,70,2)	خَلَقَكُمْ	menciptakan kalian
(16,70,3)	ثُمَّ	kemudian
(16,70,4)	يَتَوَفَّىٰكُمْۚ	Dia mewafatkan kamu
(16,70,5)	وَمِنكُم	dan diantara kamu
(16,70,6)	مَّن	orang
(16,70,7)	يُرَدُّ	dikembalikan
(16,70,8)	إِلَىٰٓ	kepada
(16,70,9)	أَرْذَلِ	paling lemah
(16,70,10)	ٱلْعُمُرِ	umur
(16,70,11)	لِكَىْ	supaya/sehingga
(16,70,12)	لَا	tidak
(16,70,13)	يَعْلَمَ	ia mengetahui
(16,70,14)	بَعْدَ	sesudah/pernah
(16,70,15)	عِلْمٍ	pengetahuan/diketahui
(16,70,16)	شَيْـًٔاۚ	sesuatu
(16,70,17)	إِنَّ	sesungguhnya
(16,70,18)	ٱللَّهَ	Allah
(16,70,19)	عَلِيمٌ	Maha Mengetahui
(16,70,20)	قَدِيرٌ	Maha Kuasa
(16,71,1)	وَٱللَّهُ	dan Allah
(16,71,2)	فَضَّلَ	melebihkan
(16,71,3)	بَعْضَكُمْ	sebagian kamu
(16,71,4)	عَلَىٰ	atas
(16,71,5)	بَعْضٍ	sebagian yang lain
(16,71,6)	فِى	dalam
(16,71,7)	ٱلرِّزْقِۚ	rezki
(16,71,8)	فَمَا	maka tidak
(16,71,9)	ٱلَّذِينَ	orang-orang yang
(16,71,10)	فُضِّلُوا۟	(mereka) dilebihkan
(16,71,11)	بِرَآدِّى	dengan mengembalikan/berikan
(16,71,12)	رِزْقِهِمْ	rezki mereka
(16,71,13)	عَلَىٰ	atas
(16,71,14)	مَا	apa
(16,71,15)	مَلَكَتْ	memiliki
(16,71,16)	أَيْمَٰنُهُمْ	hamba sahaya
(16,71,17)	فَهُمْ	maka mereka
(16,71,18)	فِيهِ	didalamnya
(16,71,19)	سَوَآءٌۚ	sama
(16,71,20)	أَفَبِنِعْمَةِ	maka apakah dengan nikmat
(16,71,21)	ٱللَّهِ	Allah
(16,71,22)	يَجْحَدُونَ	mereka mengingkari
(16,72,1)	وَٱللَّهُ	dan Allah
(16,72,2)	جَعَلَ	menjadikan
(16,72,3)	لَكُم	bagi kalian
(16,72,4)	مِّنْ	dari
(16,72,5)	أَنفُسِكُمْ	diri kalian sendiri
(16,72,6)	أَزْوَٰجًا	jodoh/isteri-isteri
(16,72,7)	وَجَعَلَ	dan Dia menjadikan
(16,72,8)	لَكُم	bagi kalian
(16,72,9)	مِّنْ	dari
(16,72,10)	أَزْوَٰجِكُم	isteri-isterimu
(16,72,11)	بَنِينَ	anak-anak
(16,72,12)	وَحَفَدَةً	dan cucu
(16,72,13)	وَرَزَقَكُم	dan Dia memberi rezki kamu
(16,72,14)	مِّنَ	dari
(16,72,15)	ٱلطَّيِّبَٰتِۚ	yang baik-baik
(16,72,16)	أَفَبِٱلْبَٰطِلِ	apakah dengan yang batil
(16,72,17)	يُؤْمِنُونَ	mereka beriman
(16,72,18)	وَبِنِعْمَتِ	dan dengan nikmat
(16,72,19)	ٱللَّهِ	Allah
(16,72,20)	هُمْ	mereka
(16,72,21)	يَكْفُرُونَ	mereka mengingkari
(16,73,1)	وَيَعْبُدُونَ	dan mereka menyembah
(16,73,2)	مِن	dari
(16,73,3)	دُونِ	selain
(16,73,4)	ٱللَّهِ	Allah
(16,73,5)	مَا	apa yang
(16,73,6)	لَا	tidak
(16,73,7)	يَمْلِكُ	memiliki/memberi
(16,73,8)	لَهُمْ	kepada mereka
(16,73,9)	رِزْقًا	rezki
(16,73,10)	مِّنَ	dari
(16,73,11)	ٱلسَّمَٰوَٰتِ	langit(jamak)
(16,73,12)	وَٱلْأَرْضِ	dan bumi
(16,73,13)	شَيْـًٔا	sedikitpun
(16,73,14)	وَلَا	dan tidak
(16,73,15)	يَسْتَطِيعُونَ	mereka berkuasa
(16,74,1)	فَلَا	maka jangan
(16,74,2)	تَضْرِبُوا۟	kamu buat/adakan
